critic,review,date
Jean Lowerison,"The characters are still appealing, most of the jokes funny and the usual heavy-handed message comes through loud and clear.","May 19, 2007"
Rob Vaux,What does it profit an ogre if he gains the whole world and loses his soul?,"May 18, 2007"
Forrest Hartman,"Shrek the Third hath succumbed to the rigors of the Hollywood franchise and, while hardly a disaster, it is not so inventive or novel as its predecessors.","May 18, 2007"
Brian Webster,Shrek has been great fun. Now let's say goodbye and move on to some fresher ideas.,"May 18, 2007"
Ross Anthony,The first 15 minutes of this picture had me rolling in the aisles. The careful animation of the frog-king rocks. Not so funny during middle chunk. Great pop-music choices!,"May 18, 2007"
Stephen Hunter,"The film's humor is all in the business and nowhere in the lame story's two subplots, neither of which is strong enough to sustain a real movie.","May 18, 2007"
Joe Morgenstern,"A parallel world of wonders, zestfully conceived and radiantly rendered, in which the great-hearted ogre tries his likeable best to avoid the parallel threats of kingship and parenthood.","May 18, 2007"
Claudia Puig,The world of the fanciful fable looks particularly vibrant this time with its signature blend of realism and fantasy. It is a pleasure to watch these fairy tale folk be themselves -- yet again.,"May 18, 2007"
Maitland McDonagh,"The real trouble is that the filmmakers consistently choose gags over character. Playing King Harold's death for comedy? He's Fiona's father, even if he is a frog -- Shrek would never have gone for a cheap laugh like that.","May 18, 2007"
Rob Salem,"May 18, 2007",
William Arnold,"A fairly underwhelming experience for man or child -- not so much bad as just more of the same, with little of the original's novelty or freshness.","May 18, 2007"
David Elliott,"Essentially the movie is saying to its loyal crowd: You bought this stuff before, now take it re-canned. There is nothing really happening but the breezy ricochet of gags, the rote sitcom types, the star voices that are phoning in performances.","May 18, 2007"
Carla Meyer,"Shrek the Third offers few surprises but packages its predictable elements quite delightfully. The pacing is brisk and the jokes nearly constant, with enough silliness for kids and cleverness for parents.","May 18, 2007"
Timothy Knight,"The narrative momentum and comic energy begin to flag right about the point Shrek and his sidekicks begin their quest for Artie, who's an exceedingly bland addition to the cast of characters.","May 18, 2007"
Jack Garner,"If you've enjoyed the clever and very funny Shrek adventures so far, Shrek the Third will not disappoint; it's on a par with the entertaining original, and even a bit better than Shrek 2.","May 18, 2007"
Gary Thompson,"Many of the jokes are stale and calculated, as though dictated by corporate committees mindful of the franchise's all-ages audience -- a joke here for dad, one for mom, one for teens, one for kids.","May 18, 2007"
Mike Russell,What a pleasant surprise that Shrek the Third mostly connects with a fairly tight story -- even if it feels less like a movie and more like a really good episode of a Shrek TV series.,"May 18, 2007"
Stephen Whitty,"The series is showing signs of aging, from the predictably jokey store signs (Versarchery, Abercrombie and Witch) to the classic-rock instrumentals playing under the fight scenes.","May 18, 2007"
Eric D. Snider,One of the few film franchises to retain a high level of quality even on the third outing.,"May 18, 2007"
Scott Weinberg,"It's just that when you're offered two delicious treats in a row, and then the third one feels rushed, bland and undercooked, it's tough not to feel a bit disappointed.","May 18, 2007"
Duane Dudek,Audiences who flocked to the first film because it was distinctive are being sold the same thing all over again because they liked it well enough twice before. The result is business as usual disguised as something new.,"May 18, 2007"
Peter Debruge,"Shrek may have been first, but revisionist fairy tales have become more common than the real thing, and this sequel should have done more to differentiate itself.","May 18, 2007"
Glenn Whipp,Invention has given way to formula -- and babies. Shrek has jumped the shark.,"May 18, 2007"
Sean P. Means,"Amid the swamp of crude humor and self-conscious parody, the biggest problem ... is that it has more uplifting messages than a very special episode of Blossom.","May 18, 2007"
Robert W. Butler,You don't go to a Shrek movie for the plot. You go to have your funny bone stroked by the patented blend of fairy tale tradition and pop culture references. And Shrek the Third delivers.,"May 18, 2007"
Amy Biancolli,The movie's tidy running time is crammed with so many yuks that I'd have to watch two or three times to catch them all. And I wouldn't mind.,"May 18, 2007"
Rick Groen,"Don't arrive late, children, because what little energy exists gets expended early on.","May 18, 2007"
